ID,Time in neutral ,Time in -,Time in +,Time to Success ,1st choice,Leave Shelter Voluntarily (Y/N) ,Probe Shelters (Y/N) ,Odor ,Trial Day ,Trial 1 or 2,TrialNo,Achieved Success(Y/N),Questions
Ind 1,0:01,0:00,0:20,0:21,+,N,N,A ,3,2,6,Y,
Ind 1,0:01,0:00,2:31,2:32,+,N,N,A ,4,1,7,Y,
Ind 10,0:01,0:00,2:21,2:22,+,N,N,A,2,2,4,Y,
Ind 4,0:01,19:59,0:00,NA,-,N,N,B,2,1,3,N,
Ind 4,0:01,19:59,0:00,NA,-,N,N,A ,3,1,5,N,
Ind 4,0:01,0:00,19:59,NA,+,N,N,B,3,2,6,N,
Ind 4,0:01,0:00,1:51,1:52,+,Y,N,A,5,1,9,Y,
Ind 4,0:01,19:59,0:00,NA,-,N,N,A,7,1,13,N,
Ind 5,0:01,0:00,16:06,16:07,+,N,N,B,7,1,13,Y,
Ind 6,0:01,0:00,0:02,0:03,+,N,N,B,1,2,2,Y,
Ind 7,0:01,0:00,0:17,0:18,+,Y,N,A,3,2,6,Y,
Ind 13,0:02,0:00,0:10,0:12,+,N,N,A,5,1,9,Y,
Ind 4,0:02,4:00,0:02,4:04,-,N,Y,A ,2,2,4,Y,
Ind 7,0:02,0:00,0:20,0:22,+,N,N,A,2,2,4,Y,
Ind 9,0:02,0:00,0:04,0:06,+,N,N,A,3,1,5,Y,
Ind 11,0:03,0:00,19:57,NA,+,N,N,A,6,1,11,N,
Ind 11,0:03,0:00,0:04,0:07,+,N,N,B,6,2,12,Y,
Ind 7,0:03,0:00,0:10,0:13,+,Y,N,B,3,1,5,Y,
Ind 12,0:04,0:00,19:56,NA,+,N,N,B,1,2,2,N,
Ind 8,0:04,0:00,6:39,6:43,+,N,N,A,1,2,2,Y,
Ind 8,0:04,0:00,0:42,0:46,+,N,N,B,3,1,5,Y,
Ind 8,0:04,0:00,19:56,NA,+,N,N,A,5,1,9,N,
Ind 9,0:04,0:00,0:12,0:16,+,Y,N,B,4,1,7,Y,
Ind 10,0:05,0:06,0:20,0:31,-,Y,N,B,4,1,7,Y,
Ind 14,0:05,0:15,0:13,0:33,-,N,Y,B ,5,1,9,Y,
Ind 9,0:05,0:05,6:04,6:15,-,Y,Y,B,3,2,6,Y,
Ind 2,0:06,0:00,1:36,1:42,+,N,N,A ,3,2,6,Y,
Ind 9,0:06,0:00,0:06,0:12,+,N,N,B,2,2,4,Y,
Ind 14,0:07,0:18,0:15,0:40,-,N,N,A,5,2,10,Y,
Ind 7,0:07,0:00,0:15,0:22,+,N,N,A,4,1,7,Y,"corrected from ""3"" in original data"
Ind 9,0:07,0:29,0:10,0:46,-,N,Y,A,4,2,8,Y,
Ind 13,0:08,0:00,0:29,0:37,+,N,N,A,2,1,3,Y,
Ind 3,0:08,0:32,0:08,0:48,-,Y,Y,A,5,1,9,Y,
Ind 13,0:09,1:10,0:10,1:29,-,N,Y,B,2,2,4,Y,
Ind 7,0:09,0:00,0:06,0:15,+,N,N,B,5,2,10,Y,
Ind 9,0:09,1:16,0:08,1:33,-,Y,Y,A,1,1,1,Y,
Ind 9,0:09,0:00,0:07,0:16,+,N,N,A,6,1,11,Y,
Ind 9,0:09,0:41,1:04,1:54,-,N,N,B,7,2,14,Y,
Ind 3,0:10,0:00,0:59,1:09,+,N,N,B,1,2,2,Y,
Ind 9,0:10,0:38,0:56,1:44,-,N,Y,A,5,1,9,Y,
Ind 11,0:11,0:00,0:29,0:40,+,Y,N,A,1,1,1,Y,
Ind 1,0:12,0:07,0:27,0:46,-,Y,Y,B,1,1,1,Y,
Ind 14,0:12,2:10,0:06,2:28,-,N,Y,A,3,1,5,Y,
Ind 5,0:12,0:00,0.07,0:19,+,N,N,B,1,1,1,Y,
Ind 8,0:12,5:36,0:44,6:32,-,N,Y,A,6,1,11,Y,
Ind 14,0:13,1:39,0:50,2:02,-,N,Y,A,2,2,4,Y,
Ind 9,0:13,0:13,1:29,1:55,+,Y,N,B,5,2,10,Y,
Ind 9,0:13,0:19,0:08,0:40,-,Y,Y,A,7,1,13,Y,
Ind 12,0:14,0:35,4:06,4:55,-,N,N,B,6,2,12,Y,
Ind 14,0:14,0:00,1:22,1:36,+,N,N,B,3,2,6,Y,
Ind 14,0:14,0:09,0:06,0:29,-,N,N,B,4,2,8,Y,
Ind 7,0:14,0:00,0:18,0:32,+,N,N,A,7,2,14,Y,
Ind 1,0:15,0:00,0:16,0:31,+,Y,N,B,4,2,8,Y,
Ind 1,0:15,0:00,0:13,0:28,+,N,N,B,6,1,11,Y,
Ind 13,0:15,0:00,0:13,0:28,+,N,N,A,1,2,2,Y,
Ind 13,0:15,0:00,0:49,1:04,+,Y,N,B,3,1,5,Y,
Ind 13,0:15,0:32,0:49,1:36,-,N,Y,B,5,2,10,Y,
Ind 9,0:15,1:30,0:10,1:55,-,Y,Y,B,6,2,12,Y,
Ind 10,0:16,0:38,0:49,1:03,-,Y,N,A,6,2,12,Y,
Ind 11,0:16,0:00,0:31,0:47,+,N,N,B,2,2,4,Y,
Ind 8,0:16,0:00,0:20,0:36,+,N,N,A,2,1,3,Y,
Ind 11,0:17,0:22,0:10,0:49,-,Y,N,A,2,1,3,Y,
Ind 14,0:17,0:11,0:10,0:38,-,Y,Y,A,4,1,7,Y,
Ind 7,0:17,0:00,0:24,0:41,+,N,N,B,5,1,9,Y,
Ind 8,0:17,0:00,0:05,0:22,+,N,N,B,7,2,14,Y,
Ind 2,0:18,2:36,0:21,3:15,-,N,Y,B,3,1,5,Y,
Ind 8,0:18,8:17,1:07,9:42,-,N,Y,A,3,2,6,Y,
Ind 11,0:20,1:33,0:24,2:17,-,N,N,B ,1,2,2,Y,
Ind 11,0:21,1:24,0:52,2:37,-,N,Y,A,3,1,5,Y,
Ind 12,0:21,3:12,2:07,5:40,+,N,Y,A,7,1,13,Y,
Ind 9,0:21,1:25,0:08,1:54,-,N,Y,B,1,2,2,Y,
Ind 10,0:22,1:25,10:03,11:50,-,N,Y,B,5,1,9,Y,
Ind 14,0:22,0:13,1:07,1:42,-,N,N,A,6,2,12,Y,
Ind 3,0:22,1:31,0:13,2:06,-,N,Y,B,4,2,8,Y,
