ID,Date,TOD,Day,Trial,TrialNo,Treaments,Pretrial_Stim,sameORdiff,PlusTreatment,L_side,R_side,Plusside,Minusside,L_touch,R_touch,PlusTouch,MinusTouch,TimeToEnter
58.16,7/18/17,951,1,1,1,t1/t3,t1,same,t1,t1,t3,L,R,960,-,960,-,1038
58.16,7/18/17,1023,1,2,2,t1/t3,t3,same,t3,t3,t1,L,R,932,-,932,-,3068
58.16,7/18/17,1125,1,3,3,t1/t3,t1,same,t1,t3,t1,R,L,15,950,950,15,1262
58.16,7/18/17,1200,1,4,4,t1/t3,t3,same,t3,t1,t3,R,L,4,915,915,4,1056
58.16,7/18/17,1230,1,TEST,TEST,t1/t3,t1,same,t1,t1,t3,L,R,-,0,,,
58.16,7/19/17,954,2,1,5,t1/t3,t3,same,t3,t3,t1,L,R,390,0,390,0,2529
58.16,7/19/17,1050,2,2,6,t1/t3,t1,same,t1,t1,t3,L,R,0,25,0,25,247
58.16,7/19/17,1105,2,3,7,t1/t3,t3,same,t3,t1,t3,R,L,0,43,43,0,1624
58.16,7/19/17,1147,2,4,8,t1/t3,t1,same,t1,t3,t1,R,L,0,920,920,0,1433
58.16,7/19/17,1220,2,TEST,TEST,t1/t3,t3,same,t3,t1,t3,R,L,304,12,,,
58.16,7/20/17,946,3,1,9,t1/t3,t1,same,t1,t3,t1,R,L,1070,943,943,1070,1587
58.16,7/20/17,1025,3,2,10,t1/t3,t3,same,t3,t3,t1,L,R,5,-,5,-,55
58.16,7/20/17,1040,3,3,11,t1/t3,t1,same,t1,t1,t3,L,R,0,-,0,-,320
58.16,7/20/17,1113,3,4,12,t1/t3,t3,same,t3,t1,t3,R,L,0,36,36,0,1077
58.16,7/20/17,1142,3,TEST NOVEL,TEST,Lg/Lv,Lg,same,Lg,Lv,Lg,R,L,0,380,,,
66.16,7/19/17,1302,1,1,1,t1/t3,t1,dif,t3,t1,t3,R,L,0,960,960,0,1094
66.16,7/19/17,1333,1,2,2,t1/t3,t3,dif,t1,t3,t1,R,L,17,30,30,17,318
66.16,7/19/17,1349,1,3,3,t1/t3,t1,dif,t3,t3,t1,L,R,0,15,0,15,1047
66.16,7/19/17,1418,1,4,4,t1/t3,t3,dif,t1,t3,t1,R,L,-,0,0,-,97
66.16,7/19/17,1430,1,TEST,TEST,t1/t3,t1,dif,t3,t3,t1,L,R,0,-,,,
66.16,7/20/17,1224,2,1,5,t1/t3,t3,dif,t1,t1,t3,L,R,0,-,0,-,1112
66.16,7/20/17,1256,2,2,6,t1/t3,t1,dif,t3,t3,t1,L,R,0,-,0,-,54
66.16,7/20/17,1312,2,3,7,t1/t3,t3,dif,t1,t3,t1,R,L,0,939,939,0,1092
66.16,7/20/17,1345,2,4,8,t1/t3,t1,dif,t3,t1,t3,R,L,0,50,50,0,1130
66.16,7/20/17,1413,2,TEST,TEST,t1/t3,t3,dif,t1,t3,t1,R,L,-,4,,,
66.16,7/21/17,1008,3,1,9,t1/t3,t3,dif,t3,t3,t1,L,R,940,0,940,0,1090
66.16,7/21/17,1037,3,2,10,t1/t3,t1,dif,t1,t3,t1,R,L,0,350,350,0,500
66.16,7/21/17,1055,3,3,11,t1/t3,t3,dif,t3,t1,t3,R,L,0,130,130,0,200
66.16,7/21/17,1109,3,4,12,t1/t3,t1,dif,t1,t1,t3,L,R,4,-,4,-,352
66.16,7/21/17,1125,3,TEST NOVEL,TEST,Lg/Lv,Lv,dif,Lg,Lv,Lg,R,L,0,143,,,
75.16,7/14/17,1112,1,1,1,t1/t3,t3,same,t3,t3,t1,L,R,0,0,0,0,36
75.16,7/14/17,1127,1,2,2,t1/t3,t1,same,t1,t3,t1,R,L,0,0,0,0,25
75.16,7/14/17,1148,1,3,3,t1/t3,t3,same,t3,t1,t3,R,L,0,0,0,0,20
75.16,7/14/17,1227,1,4,4,t1/t3,t1,same,t1,t1,t3,L,R,384,0,0,384,472
